date,store,store_no,section,item,qty,weight_kg,unit_price,line_total,receipt_total,is_promo_item,is_on_special,prefix_char,activity_id,receipt_source,category
2026-06-14,3855 Caulfield North,3855,This Month,Bulla Creamy Classics Choc Chip 2L,1,,,7.00,7.00,True,False,#,4146677943,INSTORE,
2026-06-14,3568 Caulfield North,3568,This Month,Carlton Draught Lager Btl 6X375ml,1,,,23.00,18.00,True,False,#,4146661059,INSTORE,
2026-06-14,3568 Caulfield North,3568,This Month,*CARLTON DRAUG OFFER,1,,,-5.00,18.00,False,False,,4146661059,INSTORE,
2026-06-09,3855 Caulfield North,3855,This Month,WW Vegetable Oil 750ml,1,,,4.00,4.00,False,False,,4125163330,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,Pepsi Soft Drink 1.25L,1,,,1.87,41.24,True,True,^,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,WW FFG Dairy Free Choc Cheesecake 675g,1,,,6.75,41.24,True,False,#,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,PRICE REDUCED BY $6.75 each,1,,,,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,Grape Red Seedless 500g,1,,,2.36,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,PRICE REDUCED BY $3.54 each,1,,,,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,WW Chocolate Creme Wafers 125g,1,,,0.80,41.24,True,False,#,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,WW Diced Italian Tomatoes 400g,2,,1.10,2.20,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,Cheezels Original Cheese Party Pack 190g,1,,,4.00,41.24,True,False,#,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,WW Chicken Schnitzels 600g,1,,,6.21,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,PRICE REDUCED BY $2.79 each,1,,,,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,Oreo Choco SS 140g,2,,1.60,3.20,41.24,True,True,^,4118658021,INSTORE,
